_id,title,lpNumber,aliases,areaName
6448a89be7abb0665474a25b,Philip and Maria Kleeberg House,LP-01716,,The Kleeberg Residence
6472e697426b0f007933dcb0,309 West 72nd Street House,LP-01717,William E. Diller House,The Diller Residence
6473b1d7426b0f007933dcc0,John and Mary Sutphen House,LP-01718,,The Sutphen Residence
6451de313879cf70e53ff081,Fire Engine Company No. 7/Hook & Ladder Company No1,LP-01719,,Fire Engine Company No. 7 / Hook & Ladder Company No. 1 Firehouse
646e35fc9e866c1d68eb5834,175 West Broadway Building,LP-01725,,175 West Broadway Building
646fa8d49e866c1d68eb5841,Barclay-Vesey Building,LP-01745,,Barclay-Vesey Building
6468c7c09e866c1d68eb574c,Long Distance Building of the American Telephone & Telegraph Company,LP-01747,,The Long Distance Building of the American Telephone & Telegraph Company
6463e2fc6117d262815b107b,Western Union Building,LP-01749,,Western Union Building
6441b3bb94494a7b43e4833c,Home Life Insurance Company Building,LP-01751,,(Former) Home Life Insurance Company Building (incorporating the former Postal Telegraph Building)
646338a86117d262815b1064,Broadway-Chambers Building,LP-01753,,Broadway Chambers Building
646e33049e866c1d68eb5831,315 Broadway Building,LP-01756,,315 Broadway Building
646e2d1d9e866c1d68eb5829,359 Broadway Building,LP-01758,,359 Broadway Building
6459dff34673c82a34f4ed18,Ahrens Building,LP-01759,,Ahrens Building
64698bdd9e866c1d68eb577b,Century Assocation Building,LP-01763,,(Former) Century Association Building
64c0555354ab1c604a34d252,Louis N. Jaffe Art Theater (Yiddish Art Theater/Yiddish Folks Thearter),LP-01764,,Louis N. Jaffe Art Theater (Yiddish Art Theater/Yiddish Folks Theater) Building
646833809e866c1d68eb570e,Greenwich Savings Bank,LP-01766,,Greenwich Savings Bank (now Crossland Federal Savings Bank)
645bda48e6fcaf3f17faafbd,Osborne Apartments,LP-01770,,Osborne Apartments
64a59e42fc95c50bc98dcfa7,Memorial Church of the Huguenots,LP-01772,The Reformed Church of Huguenot Park,Reformed Church of Huguenot Park
64a072b519d97124a7a9d362,The Crimson Beech,LP-01773,,"""The Crimson Beech"" (Cass House)"
55f7708cf58614cf075b764d,Solomon R. Guggenheim Museum,LP-01774,,The Solomon R. Guggenheim Museum
64876f493ee0be65782261aa,Antioch Baptist Church (originally Greene Avenue Baptist Church) and Church House,LP-01790,,Coney Island (Riegelmann) Boardwalk
646194aae6fcaf3f17fab095,Second Battery Armory,LP-01794,,Second Battery Armory
6482524ac57c9f5a476e2bfe,United Workers Cooperative Colony,LP-01795,,Coney Island (Riegelmann) Boardwalk
646432d36117d262815b107e,Andrew Freedman Home,LP-01796,,Andrew Freedman Home
6498d552d4762e2149e238c6,Flushing High School,LP-01798,,Flushing High School
646d94029e866c1d68eb581d,574 Sixth Avenue Building,LP-01805,,574 Sixth Avenue Building
